"Plot Title: DO_05"
"#","Date Time, GMT-05:00","DO conc, mg/L (LGR S/N: 10718406, SEN S/N: 10718406)","Temp, °C (LGR S/N: 10718406, SEN S/N: 10718406)","Coupler Attached (LGR S/N: 10718406)","Coupler Detached (LGR S/N: 10718406)","Host Connected (LGR S/N: 10718406)","End Of File (LGR S/N: 10718406)"
1,06/28/21 10:45:00 AM,4.99,6.68,,,,
2,06/28/21 11:00:00 AM,5.00,6.66,,,,
3,06/28/21 11:15:00 AM,5.00,6.66,,,,
4,06/28/21 11:30:00 AM,5.03,6.72,,,,
5,06/28/21 11:45:00 AM,5.07,6.84,,,,
6,06/28/21 12:00:00 PM,5.07,6.94,,,,
7,06/28/21 12:15:00 PM,5.07,7.06,,,,
8,06/28/21 12:30:00 PM,5.07,7.08,,,,
9,06/28/21 12:45:00 PM,5.07,7.14,,,,
10,06/28/21 01:00:00 PM,5.07,7.16,,,,
11,06/28/21 01:15:00 PM,5.08,7.22,,,,
12,06/28/21 01:30:00 PM,5.11,7.44,,,,
13,06/28/21 01:45:00 PM,5.11,7.58,,,,
14,06/28/21 02:00:00 PM,5.08,7.60,,,,
15,06/28/21 02:15:00 PM,5.03,7.56,,,,
16,06/28/21 02:30:00 PM,5.02,7.50,,,,
17,06/28/21 02:45:00 PM,4.99,7.46,,,,
18,06/28/21 03:00:00 PM,5.02,7.48,,,,
19,06/28/21 03:15:00 PM,5.03,7.54,,,,
20,06/28/21 03:30:00 PM,5.00,7.56,,,,
21,06/28/21 03:45:00 PM,4.98,7.56,,,,
22,06/28/21 04:00:00 PM,4.97,7.52,,,,
23,06/28/21 04:15:00 PM,4.93,7.50,,,,
24,06/28/21 04:30:00 PM,4.92,7.46,,,,
25,06/28/21 04:45:00 PM,4.92,7.46,,,,
26,06/28/21 05:00:00 PM,4.91,7.44,,,,
27,06/28/21 05:15:00 PM,4.89,7.44,,,,
28,06/28/21 05:30:00 PM,4.89,7.42,,,,
29,06/28/21 05:45:00 PM,4.89,7.38,,,,
30,06/28/21 06:00:00 PM,4.88,7.30,,,,
31,06/28/21 06:15:00 PM,4.83,7.22,,,,
32,06/28/21 06:30:00 PM,4.79,7.14,,,,
33,06/28/21 06:45:00 PM,4.79,7.06,,,,
34,06/28/21 07:00:00 PM,4.79,7.00,,,,
35,06/28/21 07:15:00 PM,4.80,6.96,,,,
36,06/28/21 07:30:00 PM,4.79,6.88,,,,
37,06/28/21 07:45:00 PM,4.78,6.80,,,,
38,06/28/21 08:00:00 PM,4.77,6.70,,,,
39,06/28/21 08:15:00 PM,4.78,6.58,,,,
40,06/28/21 08:30:00 PM,4.78,6.50,,,,
41,06/28/21 08:45:00 PM,4.77,6.44,,,,
42,06/28/21 09:00:00 PM,4.79,6.42,,,,
43,06/28/21 09:15:00 PM,4.79,6.42,,,,
44,06/28/21 09:30:00 PM,4.80,6.42,,,,
45,06/28/21 09:45:00 PM,4.79,6.42,,,,
46,06/28/21 10:00:00 PM,4.79,6.38,,,,
47,06/28/21 10:15:00 PM,4.79,6.36,,,,
48,06/28/21 10:30:00 PM,4.79,6.34,,,,
49,06/28/21 10:45:00 PM,4.80,6.34,,,,
50,06/28/21 11:00:00 PM,4.78,6.32,,,,
51,06/28/21 11:15:00 PM,4.79,6.30,,,,
52,06/28/21 11:30:00 PM,4.79,6.28,,,,
53,06/28/21 11:45:00 PM,4.79,6.26,,,,
54,06/29/21 12:00:00 AM,4.79,6.24,,,,
55,06/29/21 12:15:00 AM,4.78,6.22,,,,
56,06/29/21 12:30:00 AM,4.79,6.22,,,,
57,06/29/21 12:45:00 AM,4.78,6.18,,,,
58,06/29/21 01:00:00 AM,4.79,6.18,,,,
59,06/29/21 01:15:00 AM,4.78,6.18,,,,
60,06/29/21 01:30:00 AM,4.78,6.14,,,,
61,06/29/21 01:45:00 AM,4.79,6.14,,,,
62,06/29/21 02:00:00 AM,4.78,6.12,,,,
63,06/29/21 02:15:00 AM,4.78,6.08,,,,
64,06/29/21 02:30:00 AM,4.77,6.08,,,,
65,06/29/21 02:45:00 AM,4.78,6.06,,,,
66,06/29/21 03:00:00 AM,4.76,6.04,,,,
67,06/29/21 03:15:00 AM,4.75,6.04,,,,
68,06/29/21 03:30:00 AM,4.76,6.00,,,,
69,06/29/21 03:45:00 AM,4.76,5.94,,,,
70,06/29/21 04:00:00 AM,4.76,5.92,,,,
71,06/29/21 04:15:00 AM,4.75,5.90,,,,
72,06/29/21 04:30:00 AM,4.76,5.86,,,,
73,06/29/21 04:45:00 AM,4.75,5.82,,,,
74,06/29/21 05:00:00 AM,4.75,5.78,,,,
75,06/29/21 05:15:00 AM,4.75,5.72,,,,
76,06/29/21 05:30:00 AM,4.75,5.66,,,,
77,06/29/21 05:45:00 AM,4.76,5.64,,,,
78,06/29/21 06:00:00 AM,4.77,5.64,,,,
79,06/29/21 06:15:00 AM,4.76,5.64,,,,
80,06/29/21 06:30:00 AM,4.77,5.64,,,,
81,06/29/21 06:45:00 AM,4.78,5.62,,,,
82,06/29/21 07:00:00 AM,4.80,5.62,,,,
83,06/29/21 07:15:00 AM,4.82,5.62,,,,
84,06/29/21 07:30:00 AM,4.85,5.64,,,,
85,06/29/21 07:45:00 AM,4.86,5.66,,,,
86,06/29/21 08:00:00 AM,4.88,5.68,,,,
87,06/29/21 08:15:00 AM,4.91,5.72,,,,
88,06/29/21 08:30:00 AM,4.95,5.78,,,,
89,06/29/21 08:45:00 AM,4.99,5.88,,,,
90,06/29/21 09:00:00 AM,5.02,6.08,,,,
91,06/29/21 09:15:00 AM,5.06,6.24,,,,
92,06/29/21 09:30:00 AM,5.09,6.40,,,,
93,06/29/21 09:45:00 AM,5.11,6.56,,,,
94,06/29/21 10:00:00 AM,5.14,6.78,,,,
95,06/29/21 10:15:00 AM,5.15,6.96,,,,
96,06/29/21 10:30:00 AM,5.14,7.06,,,,
97,06/29/21 10:45:00 AM,5.18,7.24,,,,
98,06/29/21 11:00:00 AM,5.19,7.50,,,,
99,06/29/21 11:15:00 AM,5.22,7.78,,,,
100,06/29/21 11:30:00 AM,5.24,8.12,,,,
101,06/29/21 11:45:00 AM,5.25,8.50,,,,
102,06/29/21 12:00:00 PM,5.25,8.70,,,,
103,06/29/21 12:15:00 PM,5.21,8.76,,,,
104,06/29/21 12:30:00 PM,5.19,8.66,,,,
105,06/29/21 12:45:00 PM,5.15,8.64,,,,
106,06/29/21 01:00:00 PM,5.10,8.52,,,,
107,06/29/21 01:15:00 PM,5.07,8.46,,,,
108,06/29/21 01:30:00 PM,5.07,8.42,,,,
109,06/29/21 01:45:00 PM,5.09,8.52,,,,
110,06/29/21 02:00:00 PM,5.07,8.54,,,,
111,06/29/21 02:15:00 PM,5.04,8.54,,,,
112,06/29/21 02:30:00 PM,5.03,8.54,,,,
113,06/29/21 02:45:00 PM,5.05,8.60,,,,
114,06/29/21 03:00:00 PM,5.07,8.66,,,,
115,06/29/21 03:15:00 PM,5.09,8.78,,,,
116,06/29/21 03:30:00 PM,5.03,8.94,,,,
117,06/29/21 03:45:00 PM,4.99,8.80,,,,
118,06/29/21 04:00:00 PM,4.94,8.64,,,,
119,06/29/21 04:15:00 PM,4.91,8.48,,,,
120,06/29/21 04:30:00 PM,4.92,8.42,,,,
121,06/29/21 04:45:00 PM,4.91,8.36,,,,
122,06/29/21 05:00:00 PM,4.91,8.32,,,,
123,06/29/21 05:15:00 PM,4.86,8.26,,,,
124,06/29/21 05:30:00 PM,4.82,8.14,,,,
125,06/29/21 05:45:00 PM,4.80,8.04,,,,
126,06/29/21 06:00:00 PM,4.79,7.94,,,,
127,06/29/21 06:15:00 PM,4.77,7.86,,,,
128,06/29/21 06:30:00 PM,4.76,7.80,,,,
129,06/29/21 06:45:00 PM,4.74,7.72,,,,
130,06/29/21 07:00:00 PM,4.73,7.66,,,,
131,06/29/21 07:15:00 PM,4.73,7.58,,,,
132,06/29/21 07:30:00 PM,4.74,7.52,,,,
133,06/29/21 07:45:00 PM,4.73,7.46,,,,
134,06/29/21 08:00:00 PM,4.72,7.40,,,,
135,06/29/21 08:15:00 PM,4.73,7.34,,,,
136,06/29/21 08:30:00 PM,4.72,7.28,,,,
137,06/29/21 08:45:00 PM,4.74,7.20,,,,
138,06/29/21 09:00:00 PM,4.74,7.14,,,,
139,06/29/21 09:15:00 PM,4.73,7.10,,,,
140,06/29/21 09:30:00 PM,4.72,7.06,,,,
141,06/29/21 09:45:00 PM,4.75,7.00,,,,
142,06/29/21 10:00:00 PM,4.74,6.96,,,,
143,06/29/21 10:15:00 PM,4.74,6.90,,,,
144,06/29/21 10:30:00 PM,4.75,6.86,,,,
145,06/29/21 10:45:00 PM,4.76,6.80,,,,
146,06/29/21 11:00:00 PM,4.73,6.78,,,,
147,06/29/21 11:15:00 PM,4.75,6.74,,,,
148,06/29/21 11:30:00 PM,4.75,6.72,,,,
149,06/29/21 11:45:00 PM,4.76,6.68,,,,
150,06/30/21 12:00:00 AM,4.75,6.64,,,,
151,06/30/21 12:15:00 AM,4.75,6.60,,,,
152,06/30/21 12:30:00 AM,4.76,6.56,,,,
153,06/30/21 12:45:00 AM,4.73,6.54,,,,
154,06/30/21 01:00:00 AM,4.75,6.48,,,,
155,06/30/21 01:15:00 AM,4.75,6.44,,,,
156,06/30/21 01:30:00 AM,4.73,6.36,,,,
157,06/30/21 01:45:00 AM,4.74,6.32,,,,
158,06/30/21 02:00:00 AM,4.74,6.32,,,,
159,06/30/21 02:15:00 AM,4.73,6.30,,,,
160,06/30/21 02:30:00 AM,4.74,6.28,,,,
161,06/30/21 02:45:00 AM,4.76,6.26,,,,
162,06/30/21 03:00:00 AM,4.74,6.22,,,,
163,06/30/21 03:15:00 AM,4.75,6.20,,,,
164,06/30/21 03:30:00 AM,4.75,6.18,,,,
165,06/30/21 03:45:00 AM,4.76,6.14,,,,
166,06/30/21 04:00:00 AM,4.75,6.10,,,,
167,06/30/21 04:15:00 AM,4.75,6.08,,,,
168,06/30/21 04:30:00 AM,4.75,6.04,,,,
