Month,Day,Year,Time,Flux,Temperature (C),Soil sig,Soil STD,ATM sig,ATM STD,Mode,Soil VR,Soil VA,ATM VR,ATM VA,Tract,Description,Point,X,Y,WaterSample
6,22,21,9:36:14,0,0,0,0,0,0,1,0,0,0,0,Methane,Methane,Methane,Methane,Methane,Methane
6,22,21,9:39:39,0,0,0,0,0,0,1,0,0,0,0,Methane,Methane,Methane,Methane,Methane,Methane
6,22,21,9:40:00,-1.52,20.9,962.85,124.312,1047.52,151.867,0,1.24012,1.7083,1.23954,1.68684,Methane,Methane,Methane,Methane,Methane,Methane
6,22,21,9:45:00,-1.99,23,223.23,5.362,333.88,45.986,0,1.24141,1.74251,1.24116,1.73884,Methane,Methane,Methane,Methane,Methane,Methane
6,22,21,9:49:50,0,0,0,0,0,0,2,0,0,0,0,Methane,Methane,Methane,Methane,Methane,Methane
6,22,21,10:00:00,0.88,23.8,341.46,23.713,292.45,23.135,0,1.24225,1.73147,1.24225,1.73476,Methane,Methane,Methane,Methane,Methane,Methane
6,22,21,10:05:00,0.23,23.5,705.39,19.048,692.59,40.023,0,1.24241,1.70872,1.2425,1.70789,Methane,Methane,Methane,Methane,Methane,Methane
6,22,21,10:10:00,-6.21,23.5,653.61,87.649,999.49,25.667,0,1.2425,1.72247,1.24304,1.69534,Methane,Methane,Methane,Methane,Methane,Methane
6,22,21,10:15:00,-1.04,23.6,208.92,6.731,267.11,23.53,0,1.24229,1.7436,1.24237,1.74159,Methane,Methane,Methane,Methane,Methane,Methane
6,22,21,10:20:00,-0.5,23.5,201.7,7.42,229.59,4.849,0,1.24195,1.74455,1.24283,1.74293,Methane,Methane,Methane,Methane,Methane,Methane
6,22,21,10:25:00,-0.11,23,187.02,4.031,193.32,4.526,0,1.24112,1.74576,1.24145,1.74526,Methane,Methane,Methane,Methane,Methane,Methane
6,22,21,10:30:00,0.22,22.9,188.85,3.667,176.49,2.13,0,1.2412,1.74568,1.24145,1.74668,Methane,Methane,Methane,Methane,Methane,Methane
6,22,21,10:35:00,0.36,22.3,197.91,4.479,177.85,1.177,0,1.2405,1.74568,1.2405,1.74701,Methane,Methane,Methane,Methane,Methane,Methane
6,22,21,10:40:00,0.32,22,201.55,3.642,183.47,2.707,0,1.24062,1.74618,1.24041,1.74722,Methane,Methane,Methane,Methane,Methane,Methane
6,22,21,10:45:00,0.52,21.6,208.39,2.476,179.18,2.702,0,1.24025,1.7458,1.2402,1.74776,Methane,Methane,Methane,Methane,Methane,Methane
6,22,21,10:50:00,0.3,21.4,199.18,3.421,182.27,2.234,0,1.24004,1.74689,1.23991,1.7481,Methane,Methane,Methane,Methane,Methane,Methane
6,22,21,10:55:00,0.15,21.3,193.87,1.611,185.33,3.35,0,1.24004,1.74751,1.23987,1.74864,Methane,Methane,Methane,Methane,Methane,Methane
6,22,21,11:00:00,0.2,21.5,194.23,2.917,183.18,1.587,0,1.24029,1.74776,1.24041,1.74851,Methane,Methane,Methane,Methane,Methane,Methane
6,22,21,11:05:00,0.18,21.1,197.54,2.417,187.44,1.97,0,1.24033,1.74785,1.23987,1.74839,Methane,Methane,Methane,Methane,Methane,Methane
6,22,21,11:10:00,0.15,21,193.44,2.393,184.8,3.413,0,1.24012,1.7486,1.24029,1.74955,Methane,Methane,Methane,Methane,Methane,Methane
6,22,21,11:15:00,0.24,20.9,208.11,1.417,194.72,5.047,0,1.24016,1.74764,1.24058,1.74901,Methane,Methane,Methane,Methane,Methane,Methane
6,22,21,11:20:00,0.2,20.8,205.2,3.505,194.17,1.764,0,1.24,1.74801,1.24025,1.74914,Methane,Methane,Methane,Methane,Methane,Methane
6,22,21,11:25:00,0.14,21.3,196.17,3.892,188.64,1.658,0,1.24079,1.74772,1.24075,1.74935,Methane,Methane,Methane,Methane,Methane,Methane
6,22,21,11:30:00,0.22,21.2,205.81,2.559,193.64,4.656,0,1.24041,1.7478,1.24033,1.7481,Methane,Methane,Methane,Methane,Methane,Methane
6,22,21,11:35:00,0.2,21.1,208.31,5.408,196.97,2.002,0,1.241,1.74797,1.241,1.74926,Methane,Methane,Methane,Methane,Methane,Methane
6,22,21,11:40:00,0.23,20.8,217.88,1.5,204.82,1.541,0,1.24091,1.74797,1.24033,1.7488,Methane,Methane,Methane,Methane,Methane,Methane
6,22,21,11:45:00,0.33,21,220.18,2.848,201.61,3.909,0,1.2407,1.74747,1.24079,1.7491,Methane,Methane,Methane,Methane,Methane,Methane
6,22,21,11:50:00,0.37,20.6,223.96,6.04,203.16,3.721,0,1.2407,1.74822,1.24,1.7488,Methane,Methane,Methane,Methane,Methane,Methane
6,22,21,11:55:00,0.18,20.9,210.22,4.697,200.36,1.577,0,1.24112,1.74822,1.2405,1.74964,Methane,Methane,Methane,Methane,Methane,Methane
6,22,21,12:00:00,0.37,21.4,216.86,3.181,196.03,3.475,0,1.24145,1.74747,1.24166,1.74964,Methane,Methane,Methane,Methane,Methane,Methane
6,22,21,12:05:00,0.38,20.9,226.08,3.383,204.9,4.652,0,1.24037,1.7473,1.24108,1.7491,Methane,Methane,Methane,Methane,Methane,Methane
6,22,21,12:10:00,0.16,20.4,211.4,8.233,202.47,3.672,0,1.23975,1.74926,1.23975,1.74964,Methane,Methane,Methane,Methane,Methane,Methane
6,22,21,12:15:00,0,19.5,212.74,5.288,212.59,2.299,0,1.2377,1.74822,1.2387,1.74864,Methane,Methane,Methane,Methane,Methane,Methane
6,22,21,12:20:00,-0.12,18.5,213.33,5.522,220.24,6.115,0,1.23645,1.7496,1.2367,1.74897,Methane,Methane,Methane,Methane,Methane,Methane
6,22,21,12:25:00,0.24,18.2,225.34,13.391,212.08,5.311,0,1.23708,1.74839,1.23704,1.75005,Methane,Methane,Methane,Methane,Methane,Methane
6,22,21,12:30:00,2.59,18.4,470.52,37.589,326.46,16.325,0,1.23866,1.72947,1.2375,1.74043,Methane,Methane,Methane,Methane,Methane,Methane
6,22,21,12:35:00,2,18.5,784.04,20.184,672.43,23.562,0,1.23904,1.71143,1.23895,1.71864,Methane,Methane,Methane,Methane,Methane,Methane
6,22,21,12:40:00,3.24,18.6,1112.44,27.091,931.77,25.223,0,1.23958,1.69293,1.23945,1.70309,Methane,Methane,Methane,Methane,Methane,Methane
6,22,21,12:45:00,2.44,18.9,1394.16,24.486,1258.44,26.126,0,1.24025,1.67718,1.24037,1.68463,Methane,Methane,Methane,Methane,Methane,Methane
6,22,21,12:50:00,-7.52,19.4,365.09,15.506,784.07,126.154,0,1.23966,1.74043,1.23975,1.72234,Methane,Methane,Methane,Methane,Methane,Methane
6,22,21,12:55:00,-2.7,19.8,246.15,13.176,396.38,17.972,0,1.2397,1.74768,1.23983,1.73905,Methane,Methane,Methane,Methane,Methane,Methane
6,22,21,13:00:00,-0.18,20.1,222.51,3.913,232.32,3.835,0,1.2397,1.74818,1.23954,1.74764,Methane,Methane,Methane,Methane,Methane,Methane
6,22,21,13:05:00,0.01,20.2,219.04,2.689,218.57,1.563,0,1.23962,1.74772,1.23962,1.74814,Methane,Methane,Methane,Methane,Methane,Methane
6,22,21,13:10:00,0.05,20.8,214.09,2.665,211.53,5.32,0,1.24079,1.74822,1.24041,1.7476,Methane,Methane,Methane,Methane,Methane,Methane
6,22,21,13:15:00,0.02,21.4,215.36,6.295,214.29,3.774,0,1.2412,1.74726,1.241,1.74718,Methane,Methane,Methane,Methane,Methane,Methane
6,22,21,13:20:00,0.12,21.3,234.26,3.761,227.64,6.419,0,1.2415,1.74709,1.24166,1.74697,Methane,Methane,Methane,Methane,Methane,Methane
6,22,21,13:25:00,0.07,21.5,232.6,1.921,228.52,4.117,0,1.24183,1.74676,1.24229,1.74722,Methane,Methane,Methane,Methane,Methane,Methane
6,22,21,13:30:00,-0.03,21.7,217.79,2.804,219.45,3.215,0,1.2415,1.74709,1.24175,1.74685,Methane,Methane,Methane,Methane,Methane,Methane
6,22,21,13:35:00,0.99,21.6,272.8,11.115,217.85,2.979,0,1.24112,1.74197,1.24116,1.74647,Methane,Methane,Methane,Methane,Methane,Methane
6,22,21,13:40:00,1.77,21,325.83,8.547,227.31,3.926,0,1.24054,1.73926,1.24091,1.74734,1,Trib converges below station 4 from the right if looking upstream,1,S0.3311667,W78.20303,1335
6,22,21,13:45:00,1.99,20.5,342.07,8.811,231,4.001,0,1.24004,1.73901,1.24004,1.74718,1,Trib converges below station 4 from the right if looking upstream,1,S0.3311667,W78.20303,1335
6,22,21,13:50:00,1.9,20.1,333.98,5.933,227.95,5.887,0,1.23954,1.73993,1.23945,1.74772,1,Trib converges below station 4 from the right if looking upstream,1,S0.3311667,W78.20303,1335
6,22,21,13:55:00,-0.1,20.2,221.91,5.067,227.61,12.681,0,1.2395,1.74776,1.23991,1.74843,NA,NA,NA,NA,NA,NA
6,22,21,14:00:00,0.74,19.8,261.22,4.43,220.06,3.467,0,1.23904,1.74547,1.2392,1.74868,1,Trib converges below station 4 from the right if looking upstream,2,S0.3311833,W78.20275,NA
6,22,21,14:05:00,1.02,19.4,281.96,6.417,225.02,2.935,0,1.23879,1.74426,1.23862,1.74843,1,Trib converges below station 4 from the right if looking upstream,2,S0.3311833,W78.20275,NA
