Device Name:,,OM-CP-VOLT101A,,,,,,,,
Device Description:,,Voltage Data Logger,,,,,,,,
Serial Number:,,R37297,,,,,,,,
Device ID:,,SynopticOld,,,,,,,,
,,,,,,,,,,
,,Channel 1,,,,,,,,
Date,Time,Voltage (ppm),Tract,Description,Point,lat,lon,elev,WS,Notes
7/5/2021,12:59:35 PM,691,NA,NA,NA,NA,NA,NA,NA,NA
7/5/2021,12:59:40 PM,676,NA,NA,NA,NA,NA,NA,NA,NA
7/5/2021,12:59:45 PM,656,NA,NA,NA,NA,NA,NA,NA,NA
7/5/2021,12:59:50 PM,636,NA,NA,NA,NA,NA,NA,NA,NA
7/5/2021,12:59:55 PM,611,NA,NA,NA,NA,NA,NA,NA,NA
7/5/2021,1:00:00 PM,591,1,Starting above Antenas,1,-0.317527028,-78.19216599,4050.879395,NA,EOS or Vaisala came disconnected from battery around 1300; Vaisala kept floating up and moving
7/5/2021,1:00:05 PM,571,1,Starting above Antenas,1,-0.317527028,-78.19216599,4050.879395,NA,EOS or Vaisala came disconnected from battery around 1300; Vaisala kept floating up and moving
7/5/2021,1:00:10 PM,556,1,Starting above Antenas,1,-0.317527028,-78.19216599,4050.879395,NA,EOS or Vaisala came disconnected from battery around 1300; Vaisala kept floating up and moving
7/5/2021,1:00:15 PM,551,1,Starting above Antenas,1,-0.317527028,-78.19216599,4050.879395,NA,EOS or Vaisala came disconnected from battery around 1300; Vaisala kept floating up and moving
7/5/2021,1:00:20 PM,546,1,Starting above Antenas,1,-0.317527028,-78.19216599,4050.879395,NA,EOS or Vaisala came disconnected from battery around 1300; Vaisala kept floating up and moving
7/5/2021,1:00:25 PM,551,1,Starting above Antenas,1,-0.317527028,-78.19216599,4050.879395,NA,EOS or Vaisala came disconnected from battery around 1300; Vaisala kept floating up and moving
7/5/2021,1:00:30 PM,561,1,Starting above Antenas,1,-0.317527028,-78.19216599,4050.879395,NA,EOS or Vaisala came disconnected from battery around 1300; Vaisala kept floating up and moving
7/5/2021,1:00:35 PM,576,1,Starting above Antenas,1,-0.317527028,-78.19216599,4050.879395,NA,EOS or Vaisala came disconnected from battery around 1300; Vaisala kept floating up and moving
7/5/2021,1:00:40 PM,591,1,Starting above Antenas,1,-0.317527028,-78.19216599,4050.879395,NA,EOS or Vaisala came disconnected from battery around 1300; Vaisala kept floating up and moving
7/5/2021,1:00:45 PM,596,1,Starting above Antenas,1,-0.317527028,-78.19216599,4050.879395,NA,EOS or Vaisala came disconnected from battery around 1300; Vaisala kept floating up and moving
7/5/2021,1:00:50 PM,606,1,Starting above Antenas,1,-0.317527028,-78.19216599,4050.879395,NA,EOS or Vaisala came disconnected from battery around 1300; Vaisala kept floating up and moving
7/5/2021,1:00:55 PM,606,1,Starting above Antenas,1,-0.317527028,-78.19216599,4050.879395,NA,EOS or Vaisala came disconnected from battery around 1300; Vaisala kept floating up and moving
7/5/2021,1:01:00 PM,616,1,Starting above Antenas,1,-0.317527028,-78.19216599,4050.879395,NA,EOS or Vaisala came disconnected from battery around 1300; Vaisala kept floating up and moving
7/5/2021,1:01:05 PM,631,1,Starting above Antenas,1,-0.317527028,-78.19216599,4050.879395,NA,EOS or Vaisala came disconnected from battery around 1300; Vaisala kept floating up and moving
7/5/2021,1:01:10 PM,636,1,Starting above Antenas,1,-0.317527028,-78.19216599,4050.879395,NA,EOS or Vaisala came disconnected from battery around 1300; Vaisala kept floating up and moving
7/5/2021,1:01:15 PM,651,1,Starting above Antenas,1,-0.317527028,-78.19216599,4050.879395,NA,EOS or Vaisala came disconnected from battery around 1300; Vaisala kept floating up and moving
