"","X","x_pred","site","x","depth","width","ele_arcpro","slope_mid","slope_up20","dist_diff","catchment_ha","Q_m3s","Flux_ave","adjusted_ppm","WaterTemp_c","Total_hPa","AirTemp_c","v_ms","eD","k600_eq1","k600_eq1_ulsethcorrection","k600_eq1_final","pCO2_air_ppm","air_pressure_atm","water_pressure_atm","pCO2_air_atm","pCO2_w_atm","KH_mol.l.atm","KH_mol.m3.atm","Sc_co2","k.m.d_eq1","F_mol_m2_d_eq1","F_CO2_molperd_eq1","CO2_sat_mol.L","CO2_mol.L","CO2_umol.L","CO2_sat_precent","k_m_d_chamber","K600_chamber","k600_raymond_eq1","k600_raymond_eq2","k600_raymond_eq3","k600_raymond_eq4","k600_raymond_eq5","k600_raymond_eq6","k600_raymond_eq7","k600_wallin","k600_natchimuthu_model1","k600_natchimuthu_model2"
"1",4703,11.8,"Ante",10,3,22,4324.359863,0.20263588,NA,10,0.2916,0.0000243405951900302,1,5341.61136,9.09625,627.6114,6.667,0.0036879689681864,0.00733115855372801,18.6893387289025,1.87679657016886,18.6893387289025,418.53,0.618849,0.619816841,0.00025900687197,0.00534161136,0.0558173603337977,55.8173603337977,1088.5333534522,18.1409242893942,5.14653606847735,3.39671380519505,0.0000144570799016793,0.000298154646044227,298.154646044227,2062.34348894755,0.304549669476498,0.42767288072654,15.0395775262456,18.5231598760902,2.90500500158982,4.00194883922759,4.14312145271573,3.73588122968008,88.3951778701866,202.0448736,0.0725294894057143,0.412546195417755
"2",273,22.6,"Ante",20,5,23,4322.057129,0.276163254,0.22132891,10,0.3672,0.0000316028050515281,0.530135135135135,3254.15575167568,8.99804054054054,627.675589189189,6.66648648648649,0.0027480700044807,0.00744496551518699,18.6994179261459,1.91122357309083,18.6994179261459,418.53,0.618849,0.619816841,0.00025900687197,0.00325415575167568,0.0559828121368004,55.9828121368004,1094.89863593882,18.1454170698944,3.04256650421954,2.09937088791148,0.0000144999330556368,0.000182176790109948,182.176790109948,1256.39745653258,0.273166353904401,0.384878919445949,20.0903790672783,25.2546793933657,2.87129283598423,4.04907659047386,4.17608022718106,3.79016361602929,120.983736886934,292.41594288,0.0936322181452343,0.564202014119927
"3",4705,33.4,"Ante",30,11,16,4318.401367,0.284174566,0.338873141,10,0.5364,0.0000485447700130427,0.0734931506849315,1221.28079030137,8.7645205479452,627.795468493151,6.66446575342466,0.00275822556892288,0.00768925020453166,18.7205599020404,1.98543937370789,18.7205599020404,418.53,0.618849,0.619816841,0.00025900687197,0.00122128079030137,0.0563786583069313,56.3786583069313,1110.22085050907,18.1533143111115,0.984848387826217,0.472727226156584,0.0000146024599339437,0.0000688541723732199,68.8541723732199,471.524473853662,0.117043461554977,0.166220387741807,31.6501183212031,41.0606732163435,2.94443552755636,4.14965681909263,4.24682567085366,3.90143629634395,197.099684846975,410.47816752,0.135422168175761,0.581029625442765
"4",491,44.2,"Ante",40,5,26,4315.925781,0.200505464,0.284174566,10,0.5517,0.0000501160411959234,0.695444444444445,6181.25535293333,8.47788333333333,627.897244444444,6.66395555555556,0.00385508009199411,0.00758278294772995,18.7114264037678,1.95304070938002,18.7114264037678,418.53,0.618849,0.619816841,0.00025900687197,0.00618125535293333,0.0568692817753585,56.8692817753585,1129.39384171247,18.1289306453797,6.10571538698682,4.76245800184972,0.0000147295347838161,0.000351523552391409,351.523552391409,2386.52175748035,0.178406969419535,0.255851218689633,20.421037962404,25.670325566101,2.99206969792767,4.10591639358509,4.21599249281354,3.86220366262919,115.223891996169,237.94233408,0.091968497177363,0.408428192710722
"5",1172,112,"Ante",100,15,16,4313.106445,0.027785513,0.020871162,50,2.5047,0.000278087226480185,0.254972144846797,4885.25645099164,9.01281501472031,626.4394,6.89,0.0115869677700077,0.00315832796575652,18.1465427765035,0.694821174716035,18.1465427765035,418.53,0.618849,0.619816841,0.00025900687197,0.00488525645099164,0.0559578831599452,55.9578831599452,1093.93809570273,17.6096945110862,4.55871201589563,2.1881817676299,0.0000144934762793201,0.000273368609690959,273.368609690959,1886.14935728712,0.0850973711705786,0.119838343412147,16.9508993506967,22.2653992547843,1.66464120356499,2.11022050448034,2.93465950567933,2.04052946015878,88.1321908012348,300.74076936,0.137376471764571,0.0558221038573353
"6",1253,119.9,"Ante",110,7,42,4312.864746,0.035489368,0.030564022,10,2.5137,0.000279219270067115,0.252715877437326,4137.12182031476,9.08616413150147,626.4394,6.89,0.00949725408391546,0.00330647565815281,18.1756805235645,0.733440027399569,18.1756805235645,418.53,0.618849,0.619816841,0.00025900687197,0.00413712182031476,0.0558343239712301,55.8343239712301,1089.18492387391,17.6418108702727,3.8200152933401,4.81321926960852,0.0000144614736003479,0.000230993400023899,230.993400023899,1597.30195143006,0.100838025002719,0.141653086712925,11.6996971336353,14.9063800660268,1.69722781625136,2.18503298637005,2.97756343983814,2.111997282682,55.4055158011342,156.56210496,0.0976385203891372,0.0710297075327596
"7",1338,128.3,"Ante",120,7,250,4312.527832,0.05869705,0.035489368,10,2.6946,0.000302085194496827,0.250292479108635,3333.56980958774,9.16494651619234,626.4394,6.89,0.00172620111141044,0.000993977776005305,17.4269376547045,0.17758979024293,17.4269376547045,418.53,0.618849,0.619816841,0.00025900687197,0.00333356980958774,0.0557019873902804,55.7019873902804,1084.10830520735,16.9190123113945,2.89753762958657,21.7315322218993,0.0000144271975164689,0.000185686463498276,185.686463498276,1287.05844143543,0.126272117721697,0.176910118809737,4.01425277252308,5.1145059454704,0.586905720987526,0.876489301563624,2.30785839568105,0.858179009977494,19.492026408133,173.271636,0.10042878256524,0.114615296570916
"8",1431,137.3,"Ante",130,5,22,4311.842285,0.073851496,0.05869705,10,2.8872,0.00032665468767205,0.247701949860724,2474.60041881058,9.24916216879293,626.4394,6.89,0.029695880697459,0.0215141659546852,19.4069931201801,6.68541614074631,6.68541614074631,418.53,0.618849,0.619816841,0.00025900687197,0.00247460041881058,0.05556095233052,55.56095233052,1078.71418211937,6.49218203637507,0.799190773225797,0.527465910329026,0.0000143906684668023,0.000137491155906619,137.491155906619,955.418827303241,0.173853482736448,0.242881157480293,51.6600895174771,64.9365512844234,7.86383812703565,9.07007708169145,8.25055509452198,8.61910798948446,217.298789191663,146.75147712,0.0869657291664056,0.166186196090448
"9",1529,146.9,"Ante",140,8,105,4311.153809,0.068672024,0.073851496,10,3.0609,0.000349000901212789,0.244554455445545,1576.53974493069,9.33653135313531,626.438868646865,6.8899801980198,0.00415477263348559,0.00279895629727241,18.0699835837128,0.602516489774478,18.0699835837128,418.53,0.618849,0.619816841,0.00025900687197,0.00157653974493069,0.0554151020035223,55.4151020035223,1073.15345707225,17.5522270872496,1.28150948787325,4.03675488680073,0.0000143528922298308,0.0000873641107779413,87.3641107779413,608.686454123617,0.289400798544019,0.403116667311122,10.8413077247956,13.8867343211922,1.3973068362251,1.92511818430014,2.8305845912896,1.86845283106221,50.8190804209332,199.16929728,0.107820068997388,0.136239391124537
"10",1619,155.8,"Ante",150,10,67,4310.574219,0.054064731,0.068672024,10,3.0852,0.000352140713579732,0.202673267326733,1374.78161641584,9.29247854785478,626.388921452145,6.88811881188119,0.00525583154596616,0.00278756171458409,18.0674038040296,0.599623186735338,18.0674038040296,418.53,0.618849,0.619816841,0.00025900687197,0.00137478161641584,0.0554885826498078,55.4885826498078,1075.95276530193,17.5474354424728,1.08641014382449,2.18368438908722,0.0000143719242221755,0.0000762846833479267,76.2846833479267,530.789629618428,0.282832982155797,0.394553561022214,12.1853029596212,15.7482071509253,1.4193685091601,1.91915901445811,2.8272846922664,1.86292857994076,58.6029198895889,226.08340632,0.118043801355087,0.107166640441542
