"","lat_fit","lon_fit","lon_dist","lat_dist","dist","lat","lon","ele","time","Date","EOS_no","Flux_ave","Point","CO2_ppm_ave","adjusted_ppm","ele_fit"
"1",-0.34902041087091,-78.1991714945081,-78.199050648604,-0.34903041087091,13.4982356381019,-0.348983723670244,-78.199111148715,3899.73,2021-07-16 09:45:00,NA,NA,NA,NA,NA,NA,3895.53756579194
"2",-0.34902041087091,-78.1991714945081,-78.199050648604,-0.34903041087091,13.4982356381019,-0.349007109180093,-78.1991818081588,3890.11,2021-07-16 09:59:30,NA,NA,NA,NA,NA,NA,3895.53756579194
"3",-0.34901041087091,-78.1992096750585,-78.1991714945081,-0.34902041087091,17.8917613083956,-0.349011132493615,-78.1992051936686,3895.4,2021-07-16 09:57:30,NA,NA,NA,NA,NA,NA,3895.64796732575
"4",-0.34901041087091,-78.1992096750585,-78.1991714945081,-0.34902041087091,17.8917613083956,-0.349007779732347,-78.1991989072412,3890.11,2021-07-16 09:58:30,NA,NA,NA,NA,NA,NA,3895.64796732575
"5",-0.34900041087091,-78.1992164161961,-78.1992096750585,-0.34901041087091,19.23426351753,-0.348998392000794,-78.1992230471224,3897.8,2021-07-16 09:49:00,NA,NA,NA,NA,NA,NA,3895.68137222028
"6",-0.34900041087091,-78.1992164161961,-78.1992096750585,-0.34901041087091,19.23426351753,-0.34901381470263,-78.1992542278022,3891.07,2021-07-16 09:59:00,NA,NA,NA,NA,NA,NA,3895.68137222028
"7",-0.34899041087091,-78.1992146753666,-78.1992164161961,-0.34900041087091,20.364199531716,-0.348991267383099,-78.1992377992719,3894.92,2021-07-16 09:46:00,NA,NA,NA,NA,NA,NA,3895.70935910964
"8",-0.34899041087091,-78.1992146753666,-78.1992164161961,-0.34900041087091,20.364199531716,-0.348983136937022,-78.1992383860052,3893,2021-07-16 09:47:00,NA,NA,NA,NA,NA,NA,3895.70935910964
"9",-0.34899041087091,-78.1992146753666,-78.1992164161961,-0.34900041087091,20.364199531716,-0.348988752812147,-78.1992309261113,3893.96,2021-07-16 09:47:30,NA,NA,NA,NA,NA,NA,3895.70935910964
"10",-0.34899041087091,-78.1992146753666,-78.1992164161961,-0.34900041087091,20.364199531716,-0.348989423364401,-78.1992204487324,3898.28,2021-07-16 09:48:30,NA,NA,NA,NA,NA,NA,3895.70935910964
"11",-0.34899041087091,-78.1992146753666,-78.1992164161961,-0.34900041087091,20.364199531716,-0.348991183564067,-78.1992037687451,3891.55,2021-07-16 09:58:00,NA,NA,NA,NA,NA,NA,3895.70935910964
"12",-0.34898041087091,-78.1992129952576,-78.1992146753666,-0.34899041087091,21.4929959729576,-0.348981628194451,-78.1992319319397,3895.88,2021-07-16 09:45:30,NA,NA,NA,NA,NA,NA,3895.73719582708
"13",-0.34898041087091,-78.1992129952576,-78.1992146753666,-0.34899041087091,21.4929959729576,-0.348978862166405,-78.1992315128446,3893,2021-07-16 09:46:30,NA,NA,NA,NA,NA,NA,3895.73719582708
"14",-0.34898041087091,-78.1992129952576,-78.1992146753666,-0.34899041087091,21.4929959729576,-0.348979197442532,-78.1992082111537,3897.32,2021-07-16 09:48:00,NA,NA,NA,NA,NA,NA,3895.73719582708
"15",-0.34897041087091,-78.1992133564635,-78.1992129952576,-0.34898041087091,22.6069168082543,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3895.76454219391
"16",-0.34896041087091,-78.199215329845,-78.1992133564635,-0.34897041087091,23.741579129104,-0.348961092531681,-78.1992341112345,3898.28,2021-07-16 09:49:30,NA,NA,NA,NA,NA,NA,3895.79226750216
"17",-0.34895041087091,-78.1992180444453,-78.199215329845,-0.34896041087091,24.8950595390357,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3895.82031359443
"18",-0.34894041087091,-78.1992209418209,-78.1992180444453,-0.34895041087091,26.0540364425725,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3895.84834773747
"19",-0.34893041087091,-78.1992239163886,-78.1992209418209,-0.34894041087091,27.2154339502018,-0.34893561154604,-78.1992287468165,3894.92,2021-07-16 10:00:00,NA,NA,NA,NA,NA,NA,3895.87628956415
"20",-0.34892041087091,-78.1992271942967,-78.1992239163886,-0.34893041087091,28.3869058313549,-0.34892538562417,-78.1992313452065,3893.96,2021-07-16 10:00:30,NA,NA,NA,NA,NA,NA,3895.90431621454
"21",-0.34892041087091,-78.1992271942967,-78.1992239163886,-0.34893041087091,28.3869058313549,-0.348919853568077,-78.1992292497307,3893.96,2021-07-16 10:01:00,NA,NA,NA,NA,NA,NA,3895.90431621454
