"","X","lon_fit","lat_fit","ele_fit","dist","slope50m","Date","EOS_no","VaisalaType","Flux_ave","CO2_ppm_ave","adjusted_ppm","AirTemp_c","WaterTemp_c","Total_hPa","surface_area","flux_umolpers","Totalflux_umolpers","DOC","TDN","Wetland","dist_ANTE","dist_GAVI","dist_COLM","dist_GAVItrib1","dist_GAVItrib2","dist_GAVItrib3","air_pressure_atm","VaporPressure_atm","TotalAir_atm","Total_air_MolperL","CO2_air_MolesPerLiter","CO2_air_gCO2asCPerLiter","WaterTemp_K","KH_mol.L.atm","CO2_water_gCO2asCPerLiter","deltaCO2_gCO2asCperM3","Flux_gCO2asCperM2perDay","k_m.d","Sc","K600.effective","lon","lat","Elevation","FlowAccu","Flowlen","Slope"
"1",1,-78.1921410916266,-0.317504145205021,4322.59327825943,0,-0.241082795609117,2021-07-05,"EOS2",NA,0.0833333333333333,NA,NA,NA,NA,NA,1.07881816976387,0.089901514146989,0.089901514146989,NA,NA,"ANTE",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0864,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2",126,-78.1921811778529,-0.317380145205021,4319.31051203683,14.5562833499395,-0.220950297804718,2021-07-05,"EOS2","old",1,3554.46153846154,5341.61136046959,6.667,9.09625,627.6114,4.09283994113785,4.09283994113785,4.18274145528484,3.226,0.125,"ANTE",14.5562833499395,NA,NA,NA,NA,NA,0.61940431400562,0.00978562905290792,0.609618684952712,0.0265501268900626,1.08855520249257e-05,0.000130626624299108,282.24625,0.0550874367127126,0.0035310681331653,0.187321606414948,1.0368,5.5348660511875,1091.32532592627,7.46463551477778,NA,NA,NA,NA,NA,NA
"3",253,-78.1922030637479,-0.317253145205021,4316.71607467126,28.9038836298245,-0.198872776207192,2021-07-05,"EOS2","old",0.085,850.076923076923,1276.56622842094,6.666,8.905,627.7364,3.83687311227429,0.326134214543315,4.50887566982816,NA,NA,"ANTE",28.9038836298245,NA,NA,NA,NA,NA,0.61952767941812,0.00978495590156764,0.609742723516552,0.0265556239239681,1.08878058088269e-05,0.000130653669705923,282.055,0.0554059707677111,0.000848752693619253,0.0397869735272638,0.088128,2.21499632133645,1103.94775259323,3.00449609530443,NA,NA,NA,NA,NA,NA
"4",371,-78.1922158884628,-0.317135145205021,4314.84512161147,42.1215520314047,-0.178442174081468,2021-07-05,"EOS2","old",0.055,755.076923076923,1132.42919449067,6.662,8.53875,627.8904,4.09954063002327,0.22547473465128,4.73435040447944,3.059,0.09726,"ANTE",42.1215520314047,NA,NA,NA,NA,NA,0.61967966560632,0.00978226370498083,0.609897401901339,0.0265627402218359,1.08907234909527e-05,0.000130688681891433,281.68875,0.0560223481909216,0.000761296111623855,0.0353281090002519,0.057024,1.61412545459462,1128.60118426677,2.21376701389879,NA,NA,NA,NA,NA,NA
"5",410,-78.1922170961156,-0.317096145205021,4314.42219494504,46.4655390620921,-0.169817439622399,2021-07-05,"EOS2","old",1.365,7644.07692307692,11459.5736060227,6.666,8.41425,627.9044,0,0,4.73435040447944,2.809,0.101,"ANTE",46.4655390620921,NA,NA,NA,NA,NA,0.61969348253252,0.00978495590156764,0.609908526630952,0.0265628450107997,1.08907664544279e-05,0.000130689197453134,281.56425,0.0562338008782988,0.00773298456373547,0.427505963845534,1.415232,3.31043802820807,1137.12734185186,4.55737103850123,NA,NA,NA,NA,NA,NA
"6",970,-78.1921692018141,-0.316536145205021,4312.01848166081,110.19216521815,-0.0351800048285283,2021-07-06,"EOS2","old",0.255,3250.84615384615,4894.49268093836,6.89,9.337,626.4394,16.6225715907439,4.2387557556397,8.97310616011913,2.405,0.1359,"ANTE",110.19216521815,NA,NA,NA,NA,NA,0.61824763989802,0.00993676681150955,0.60831087308651,0.0264720721348707,1.0853549575297e-05,0.000130242594903564,282.487,0.0546896678660156,0.00321213814911796,0.168547844257735,0.264384,1.56859911892861,1075.67752821699,2.10028093197854,NA,NA,NA,NA,NA,NA
"7",1248,-78.1923638551103,-0.316258145205021,4309.07212181518,148.03007943653,-0.073045100253015,2021-07-06,"EOS1","new",0.245,1421.80307692308,1578.68610805354,6.89,9.337,626.4394,30.482766066753,7.46827768635449,16.4413838464736,NA,NA,"ANTE",148.03007943653,NA,NA,NA,NA,NA,0.61824763989802,0.00993676681150955,0.60831087308651,0.0264720721348707,1.0853549575297e-05,0.000130242594903564,282.487,0.0546896678660156,0.00103605382696969,0.0495385154310029,0.254016,5.12764659558264,1075.67752821699,6.86567921699632,NA,NA,NA,NA,NA,NA
"8",1386,-78.1925582964592,-0.316121145205021,4306.77103956293,174.664389379009,-0.0852386358732393,2021-07-06,"EOS2","old",0.11,616.769230769231,928.338098023544,6.884,9.195,626.2784,15.8635771273264,1.7449934840059,18.1863773304795,NA,NA,"ANTE",174.664389379009,NA,NA,NA,NA,NA,0.61808874524672,0.00993267350653343,0.608156071740187,0.0264659026372629,1.08510200812778e-05,0.000130212240975334,282.345,0.0549238503883515,0.000611854833667823,0.0264536657017,0.114048,4.31123615479389,1084.87455912387,5.79716884979222,NA,NA,NA,NA,NA,NA
"9",1747,-78.1926650738771,-0.315761145205021,4302.22219319011,221.748536809626,-0.0933437511128977,2021-07-06,"EOS1","new",0.235,1146.18769230769,1272.84131768892,6.879,9.0615,626.3334,13.4486434955066,3.16043122144404,21.3468085519236,NA,NA,"ANTE",221.748536809626,NA,NA,NA,NA,NA,0.61814302602822,0.00992926355609722,0.608213762472123,0.0264688858396379,1.08522431942515e-05,0.000130226918331018,282.2115,0.05514514565431,0.000842292238305353,0.0392669457853675,0.243648,6.20491344887824,1093.60611689381,8.37703959436085,NA,NA,NA,NA,NA,NA
"10",1917,-78.1927683230141,-0.315590145205021,4301.83230818095,244.169280036623,-0.0553112916774249,2021-07-06,"EOS2","old",0.285,803.923076923077,1209.46321045246,6.879,9.0615,626.3334,15.2030561664804,4.33287100744692,25.6796795593705,NA,NA,"ANTE",244.169280036623,NA,NA,NA,NA,NA,0.61814302602822,0.00992926355609722,0.608213762472123,0.0264688858396379,1.08522431942515e-05,0.000130226918331018,282.2115,0.05514514565431,0.000800352298847164,0.0369541617152128,0.295488,7.99606827174644,1093.60611689381,10.7952159306496,NA,NA,NA,NA,NA,NA
